Family Counts Percent
Lachnospiraceae 1178798087 26.493061415388464
Bacteroidaceae 1093701756 24.580552099102793
Ruminococcaceae 615123184 13.8246714780606
Bifidobacteriaceae 288380485 6.481247284298071
Prevotellaceae 272059678 6.1144430393911975
Eubacteriaceae 187736569 4.219311608393638
Rikenellaceae 185056440 4.159076676744853
Coriobacteriaceae 118120731 2.6547207832494384
Tannerellaceae 99157156 2.2285212816800697
Enterobacteriaceae 54489116 1.2246232095032454
Barnesiellaceae 46693582 1.0494213973308537
Eggerthellaceae 39101745 0.8787976016912714
Firmicutes_unclassified 32755140 0.7361599456766401
Akkermansiaceae 31853835 0.7159034412062552
Acidaminococcaceae 26541023 0.5964999096289149
Erysipelotrichaceae 26493601 0.59543411730002
Streptococcaceae 21690676 0.4874901119595154
Clostridiaceae 21023006 0.472484469763209
Oscillospiraceae 17124695 0.3848713374734173
Odoribacteraceae 16770451 0.3769098314686719
Veillonellaceae 15778856 0.3546240918463339
Methanobacteriaceae 14967048 0.3363790001392046
Clostridiales_unclassified 11790508 0.2649874104882467
Desulfovibrionaceae 9576945 0.2152383812417889
Selenomonadaceae 5583467 0.12548640498582245
Lactobacillaceae 4479038 0.10066476195075358
Peptostreptococcaceae 3376176 0.07587833667493944
Sutterellaceae 3265467 0.07339019187000455
Eukaryota_unclassified 1931948 0.04341983379494312
Atopobiaceae 1557043 0.03499397927458691
Proteobacteria_unclassified 738548 0.01659859965671315
Pasteurellaceae 697972 0.015686668706157744
Actinomycetaceae 624471 0.014034760267751478
Enterococcaceae 365951 0.008224616603083122
Synergistaceae 288273 0.006478831597729153
Christensenellaceae 234772 0.005276415938579293
Oxalobacteraceae 218520 0.0049111581061555346
Staphylococcaceae 215254 0.004837755935302963
Peptococcaceae 161084 0.003620304742686976
Muribaculaceae 154909 0.00348152384709156
Leuconostocaceae 134267 0.0030176023496210195
Fusobacteriaceae 97421 0.0021895018023969353
Comamonadaceae 95933 0.0021560595396202583
Brachyspiraceae 83727 0.0018817340964400716
Micrococcaceae 74329 0.0016705174394674846
Catabacteriaceae 50033 0.0011244736112267977
Porphyromonadaceae 45932 0.0010323051168402708
Campylobacteraceae 29763 6.689126794504264e-4
Moraxellaceae 23021 5.173886635630906e-4
Saccharomycetaceae 19652 4.4167160489734834e-4
Propionibacteriaceae 17705 3.9791348283673686e-4
Bacillales_unclassified 17168 3.8584460171370223e-4
Microcoleaceae 16331 3.670333289018215e-4
Corynebacteriaceae 12795 2.8756300552928825e-4
Clostridiales_Family_XIII_Incertae_Sedis 12153 2.731342873151574e-4
Victivallaceae 12116 2.7230272567353313e-4
Bacillaceae 7476 1.6802040088604602e-4
Candidatus_Gastranaerophilales_unclassified 4824 1.0841765835664607e-4
Morganellaceae 4578 1.0288889717179222e-4
Listeriaceae 3996 8.98086572954307e-5
Mycobacteriaceae 3567 8.01670371803807e-5
Ectothiorhodospiraceae 3213 7.221101498754224e-5
Hafniaceae 2658 5.973759036317688e-5
Peptoniphilaceae 2641 5.935552150080892e-5
Neisseriaceae 2491 5.5984325656385855e-5
Pseudomonadaceae 1231 2.7666280563232026e-5
Corynebacteriales_unclassified 1058 2.3778168022664082e-5
Carnobacteriaceae 1018 2.2879182464151263e-5
Succinivibrionaceae 793 1.782238869751665e-5
Microbacteriaceae 589 1.3237562349101273e-5
Cryptococcaceae 0 0
