Phylum Counts Percent
Firmicutes 2169499839 48.758725611422186
Bacteroidetes 1713639904 38.51343815468237
Actinobacteria 447894518 10.066267585476504
Proteobacteria 69150249 1.5541268804641388
Verrucomicrobia 31853835 0.7159034412062552
Euryarchaeota 14967048 0.3363790001392046
Eukaryota_unclassified 1931948 0.04341983379494312
Synergistetes 288273 0.006478831597729153
Fusobacteria 97421 0.0021895018023969353
Spirochaetes 83727 0.0018817340964400716
Ascomycota 19652 4.4167160489734834e-4
Cyanobacteria 16331 3.670333289018215e-4
Lentisphaerae 12116 2.7230272567353313e-4
Candidatus_Melainabacteria 4824 1.0841765835664607e-4
Basidiomycota 0 0
